Step,COM_X,COM_Y,COM_Z
0,2.11423908857777e-06,0.07063506634409605,0.000933208011115474
1,2.1149065258364524e-06,0.07067645677699538,0.0016243136067210391
2,2.8273391564297906e-06,0.07074753794282951,0.002657132665144333
3,2.820096370533678e-06,0.07084174512286318,0.003854333522967
4,2.603022232080114e-06,0.07095525208138215,0.005125362053306715
5,2.3556902857043185e-06,0.07108567006443849,0.006423744103109882
6,7.382589428800253e-06,0.07122505593449932,0.007730066046568694
7,1.6994475598253207e-05,0.07137134854367062,0.009032770602673589
8,2.7467378238761136e-05,0.07152613650789474,0.010326477621233234
9,3.6589311701380674e-05,0.07169089783457595,0.011608666383181188
10,4.113551913362695e-05,0.0718623454592771,0.01287206671716981
11,3.718318042659396e-05,0.07203249573687896,0.014111851659343864
12,2.6731064787832914e-05,0.07220073723124368,0.015340392768914605
13,1.1085434026229175e-05,0.072366948006489,0.01656186781833131
14,-8.604269590920403e-06,0.07253108340805199,0.017778680829296997
15,-3.0165931626410565e-05,0.07268939166530582,0.018979716331746097
16,-5.429000065853821e-05,0.0728370171610668,0.020153556183144714
17,-8.157170525844234e-05,0.07297816568108376,0.021304791377008626
18,-0.00011267554785649791,0.073114560423922,0.02243585303241625
19,-0.00014340122398055657,0.0732462201253646,0.023552518443861113
20,-0.0001717153963739383,0.07337312675297293,0.02465704991628596
21,-0.00019531220317772375,0.0735010250977374,0.025752195069377225
22,-0.0002176577589118574,0.0736301979373135,0.0268335581268746
23,-0.0002420424663165281,0.07375902058414383,0.027900629499273702
24,-0.00026767606075334637,0.07388388867203802,0.028968503523279773
25,-0.00029314824711149605,0.07400829045047036,0.03004253507189619
26,-0.00031748978582881636,0.07413875200452684,0.031105883505409212
27,-0.0003438255709316231,0.07428324176255284,0.03214543616411037
28,-0.00036957963578194893,0.07443773680684385,0.03316838796019913
29,-0.00039021691639909596,0.07459609479413863,0.03418392681481168
30,-0.0004043441455998388,0.07475457457512773,0.03520184344883756
31,-0.00041185262639354206,0.07491108981194311,0.0362155995589993
32,-0.000420370792035165,0.07507600861890841,0.037213760395964086
33,-0.00043175870529526037,0.07525031383646448,0.038191047734906
34,-0.0004488132823550297,0.0754358041576554,0.03914461366454687
35,-0.00047319832863047123,0.07563503819976836,0.040074463470773244
36,-0.000505748919026464,0.07584726769764194,0.04098040209607054
37,-0.000547409077320564,0.07607271585359686,0.04186313507667008
38,-0.0005986902487277575,0.07631137478350809,0.04272295099539071
39,-0.0006596875332365635,0.07656307659067217,0.04355977031010902
40,-0.0007297691438964658,0.07682625720952159,0.044371989188003454
41,-0.0008086974137029166,0.07709990975462487,0.045158699839258486
